series_cfg,gamma,seedkey,t,corr
a.20,GX_GX,e_e_e_e,0,(0.3822040376425273-3.1281060971094826e-10j)
a.20,GX_GX,e_e_e_e,1,(1.1455588699059267+6.013702942568491e-10j)
a.20,GX_GX,e_e_e_e,2,(0.06151418535485077+4.109020659872329e-10j)
a.20,GX_GX,e_e_e_e,3,(1.1455588699059271+6.013702511970822e-10j)
a.20,GY_GY,e_e_e_e,0,(0.5244246106346864-9.52574022135709e-10j)
a.20,GY_GY,e_e_e_e,1,(1.2655202701063688-2.974791384717648e-10j)
a.20,GY_GY,e_e_e_e,2,(0.11294648109504915+4.270103740137152e-11j)
a.20,GY_GY,e_e_e_e,3,(1.2655202701063688-2.974791111820573e-10j)
a.20,GZ_GZ,e_e_e_e,0,(0.47619079223357746-7.283681930907323e-11j)
a.20,GZ_GZ,e_e_e_e,1,(1.172796900645259+4.0714043758832783e-10j)
a.20,GZ_GZ,e_e_e_e,2,(0.1839629106510041+3.060653184599305e-10j)
a.20,GZ_GZ,e_e_e_e,3,(1.17279690064526+4.071404458807804e-10j)
