t,gamma,corr,tsource,series,cfg
0,GX_G1,(-0.5079253723722797-0.07627763610074781j),0,a,20
1,GX_G1,(-0.6532826780806054+0.03559055496694482j),0,a,20
2,GX_G1,(-0.06376789727262448-0.012455624093167911j),0,a,20
3,GX_G1,(-0.8668374710208266-0.08105047582246216j),0,a,20
0,GY_G1,(-0.43039534011632763+0.04436941863642673j),0,a,20
1,GY_G1,(-0.7659560883074004+0.037803099748805295j),0,a,20
2,GY_G1,(-0.01986457532505565+0.0020332554267393915j),0,a,20
3,GY_G1,(-0.7716528333706207-0.06093963068464728j),0,a,20
0,GZ_G1,(-0.5266273043978408+0.06466826002671115j),0,a,20
1,GZ_G1,(-0.6533745647720544+0.08519437622725602j),0,a,20
2,GZ_G1,(-0.026126331500385853-0.013534581818665115j),0,a,20
3,GZ_G1,(-0.686669768440102-0.08648555276375924j),0,a,20
0,GX_G1,(-0.637905335999142+0.08935640629691874j),1,a,20
1,GX_G1,(-0.855249876780745+0.05476067849888524j),1,a,20
2,GX_G1,(0.002981072168569309-0.020498709593750865j),1,a,20
3,GX_G1,(-0.7370137934973437+0.045456143109405864j),1,a,20
0,GY_G1,(-0.6198518783211541-0.06863238747562997j),1,a,20
1,GY_G1,(-1.115146481874004+0.02564329569028472j),1,a,20
2,GY_G1,(-0.09501200665904228-0.007371483480596325j),1,a,20
3,GY_G1,(-1.0521635059475196+0.010594004676576806j),1,a,20
0,GZ_G1,(-0.3660609136896087+0.015269888643815552j),1,a,20
1,GZ_G1,(-0.8031819915538372-0.11623948512330255j),1,a,20
2,GZ_G1,(-0.29452165972120925-0.061239056618011364j),1,a,20
3,GZ_G1,(-0.737527058128335-0.02674282316059118j),1,a,20
0,GX_G1,(-0.43152971026166714+0.030822589087457563j),2,a,20
1,GX_G1,(-0.8957175566784188+0.07208853739252974j),2,a,20
2,GX_G1,(-0.04856384013447127+0.007467476315318557j),2,a,20
3,GX_G1,(-0.7656912215310085+0.05752498207012355j),2,a,20
0,GY_G1,(-0.5633384164921122+0.04222532533915939j),2,a,20
1,GY_G1,(-1.0110656619507363+0.08991255071218002j),2,a,20
2,GY_G1,(-0.0433622377455406-0.022755030642235424j),2,a,20
3,GY_G1,(-0.9832920256230775+0.06993929264227658j),2,a,20
0,GZ_G1,(-0.549856386004097+0.13789229799167685j),2,a,20
1,GZ_G1,(-0.8406432727030526-0.04095851108684409j),2,a,20
2,GZ_G1,(-0.10066029489634992+0.056241666847041086j),2,a,20
3,GZ_G1,(-0.6778913218704439-0.12392475074031908j),2,a,20
0,GX_G1,(-0.2704894845796018-0.04758274109082147j),3,a,20
1,GX_G1,(-0.9882818039238971+0.09559743134838937j),3,a,20
2,GX_G1,(-0.043777435200286936-0.018496537058288784j),3,a,20
3,GX_G1,(-0.9956405102351195-0.08146885348378773j),3,a,20
0,GY_G1,(-0.4932370977599616-0.017007727522365634j),3,a,20
1,GY_G1,(-0.9419025072354187+0.07064027009070395j),3,a,20
2,GY_G1,(-0.12291710076147112+0.04870572164253355j),3,a,20
3,GY_G1,(-0.9306494331116327-0.03815568446787777j),3,a,20
0,GZ_G1,(-0.5098808318212235+0.11873046663130779j),3,a,20
1,GZ_G1,(-0.8557370162399103+0.09513467552106027j),3,a,20
2,GZ_G1,(-0.24005823392539866-0.003787115592612271j),3,a,20
3,GZ_G1,(-0.9161728532275096-0.13591638427114933j),3,a,20
